Business Summary Report,
,,,
,
,
Seller Name,Agreement Document No,Currency,Amount,Buyer Name,Status,Number of Invoices,Total Invoice Amount,Invoice Balance,Available Financing Amount,Total Financing Amount,Financing Balance
,,,,,,,,,,,,
,AGM051001,USD,"2 000 000.00",,,,,,,,,
,,,,20230723004nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,202307261607,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
ADAM TEST01,Test001,USD,"800 000.00",,,,,,,,,
,,,,MAG-NUM INC.,Active,2,"119 790.00","119 790.00","15 832.00","80 000.00","80 000.00",
,,,,,,,,,,,,
,,,,Total:,,2,"119 790.00","119 790.00","15 832.00","80 000.00","80 000.00",
,,,,,,,,,,,,
,,,,,,,,,,,,
C009502nm,C009502doc,USD,"500 000.00",,,,,,,,,
,,,,C009503nm,Active,3,"6 000.00","5 000.00",0.00,"4 800.00","4 000.00",
,,,,Beneficiary 2,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,Total:,,3,"6 000.00","5 000.00",0.00,"4 800.00","4 000.00",
,,,,,,,,,,,,
,,,,,,,,,,,,
C009542DFNM,AGM51001,USD,"1 000 000.00",,,,,,,,,
,,,,C009544DFNM,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
C009701nm,AGM051001,USD,"2 000 000.00",,,,,,,,,
,,,,C009702nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
C009704nm,AGM051001,USD,"2 000 000.00",,,,,,,,,
,,,,C009705nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
C010849nm,AGM051001,USD,"2 000 000.00",,,,,,,,,
,,,,C010850nm,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
CSSCF061101,DF001,USD,"500 000.00",,,,,,,,,
,,,,Yaya Test Company 04,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
DF SELLER 01,AGM0510001,USD,"5 000 000.00",,,,,,,,,
,,,,DF BUYER 01,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
DF SELLER 02,AMG00001,USD,"10 000 000.00",,,,,,,,,
,,,,DF BUYER 02,Active,30,"16 000.00","16 000.00",0.00,"12 800.00","12 800.00",
,,,,,,,,,,,,
,,,,Total:,,30,"16 000.00","16 000.00",0.00,"12 800.00","12 800.00",
,,,,,,,,,,,,
,,,,,,,,,,,,
DFBUYR01,doc,USD,"10 000.00",,,,,,,,,
,,,,PHILIPS MARK,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,Beneficiary 1,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
DFCUST01,DOC01,USD,"100 000.00",,,,,,,,,
,,,,DFBUYR01,Active,7,"31 000.00","30 000.00",0.00,"27 900.00","27 000.00",
,,,,,,,,,,,,
,,,,Total:,,7,"31 000.00","30 000.00",0.00,"27 900.00","27 000.00",
,,,,,,,,,,,,
,,,,,,,,,,,,
DFCUSTOMER01,DFCONTRACT01,USD,"50 000 000.00",,,,,,,,,
,,,,DFBUYER01,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,DFBUYR01,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
DOCSDF01,DOMFDOC01,USD,"50 000.00",,,,,,,,,
,,,,DOCSDF02,Active,30,"955 000.00","935 000.00","888 250.00",0.00,0.00,
,,,,,,,,,,,,
,,,,Total:,,30,"955 000.00","935 000.00","888 250.00",0.00,0.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
SCFRAIN053101,DOC01,USD,"1 000 000.00",,,,,,,,,
,,,,Beneficiary 1,Active,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,Total:,,0,0.00,0.00,0.00,0.00,0.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
********** END OF REPORT **********
