Charge Collected Report,
,Export Factoring,,
,
,
Seller Name,Agreement Document No,Currency,Buyer Name,Charge Collected Date,Invoice Number,Invoice Amount,Commission Amount,Handling Charge,Other Charge
,,,,,,,,,,
ABC MANUFACTURING COMPANY,ABCAGM01,USD,CB APPAREL,,,,,,,
,,,,07/10/2024,CBINV06,"3 000.00",0.00,12.00,0.00,
,,,,07/10/2024,CBINV01,"1 000.00",0.00,12.00,0.00,
,,,,07/10/2024,CBINV05,"1 300.00",0.00,12.00,0.00,
,,,,07/10/2024,CBINV04,500.00,0.00,12.00,0.00,
,,,,07/10/2024,CBINV03,"6 000.00",0.00,12.00,0.00,
,,,Total,,5,,0.00,60.00,0.00,
,,,,,,,,,,
,,,,,,,,,,
DASMA HARDWARE,DH001,USD,ETIVAC EXPRESS,,,,,,,
,,,,07/03/2024,EEINV016,"4 000.00",0.00,20.00,0.00,
,,,,07/03/2024,EEINV017,500.00,0.00,20.00,0.00,
,,,,07/03/2024,EEINV001,"1 000.00",0.00,20.00,0.00,
,,,,07/03/2024,EEINV002,"2 000.00",0.00,20.00,0.00,
,,,,07/03/2024,EEINV003,"6 000.00",0.00,20.00,0.00,
,,,,07/03/2024,EEINV005,"1 300.00",0.00,20.00,0.00,
,,,,07/03/2024,EEINV004,500.00,0.00,20.00,0.00,
,,,,07/03/2024,EECN001,50.00,0.00,20.00,0.00,
,,,,07/03/2024,EECN002,30.00,0.00,20.00,0.00,
,,,,07/03/2024,EECN003,20.00,0.00,20.00,0.00,
,,,,07/03/2024,EECN004,20.00,0.00,20.00,0.00,
,,,,07/03/2024,EECN005,10.00,0.00,20.00,0.00,
,,,Total,,12,,0.00,240.00,0.00,
,,,,,,,,,,
,,,,,,,,,,
Late Night Oven,AGM0001,USD,FLORA'S FLOUR,,,,,,,
,,,,06/29/2024,INV111,"6 000.00",0.00,15.00,0.00,
,,,,06/27/2024,CN113,150.00,0.00,15.00,0.00,
,,,,06/27/2024,INV111,"6 000.00",0.00,15.00,0.00,
,,,,06/29/2024,INV112,500.00,0.00,15.00,0.00,
,,,,06/26/2024,INV112,500.00,0.00,15.00,0.00,
,,,,06/27/2024,INV112,500.00,0.00,15.00,0.00,
,,,,06/29/2024,INV113,"1 300.00",0.00,15.00,0.00,
,,,,06/26/2024,INV113,"1 300.00",0.00,15.00,0.00,
,,,,06/27/2024,INV113,"1 300.00",0.00,15.00,0.00,
,,,,06/29/2024,INV114,"3 000.00",0.00,15.00,0.00,
,,,,06/26/2024,INV114,"3 000.00",0.00,15.00,0.00,
,,,,06/27/2024,INV114,"3 000.00",0.00,15.00,0.00,
,,,,06/29/2024,INV115,"4 000.00",0.00,15.00,0.00,
,,,,06/26/2024,INV115,"4 000.00",0.00,15.00,0.00,
,,,,06/27/2024,INV115,"4 000.00",0.00,15.00,0.00,
,,,,06/29/2024,INV110,"2 000.00",0.00,15.00,0.00,
,,,,06/26/2024,INV110,"2 000.00",0.00,15.00,0.00,
,,,,06/27/2024,INV110,"2 000.00",0.00,15.00,0.00,
,,,,06/29/2024,CN109,200.00,0.00,15.00,0.00,
,,,,06/26/2024,CN109,200.00,0.00,15.00,0.00,
,,,,06/27/2024,CN109,200.00,0.00,15.00,0.00,
,,,,06/29/2024,CN110,300.00,0.00,15.00,0.00,
,,,,06/26/2024,CN110,300.00,0.00,15.00,0.00,
,,,,,,,,,,
,,,,,,,,,,
,,,,06/27/2024,CN110,300.00,0.00,15.00,0.00,
,,,,06/29/2024,CN111,20.00,0.00,15.00,0.00,
,,,,06/26/2024,CN111,20.00,0.00,15.00,0.00,
,,,,06/27/2024,CN111,20.00,0.00,15.00,0.00,
,,,,06/29/2024,CN112,35.00,0.00,15.00,0.00,
,,,,06/26/2024,CN112,35.00,0.00,15.00,0.00,
,,,,06/27/2024,CN112,35.00,0.00,15.00,0.00,
,,,,06/29/2024,CN114,200.00,0.00,15.00,0.00,
,,,,06/26/2024,CN114,200.00,0.00,15.00,0.00,
,,,,06/27/2024,CN114,200.00,0.00,15.00,0.00,
,,,,06/29/2024,CN115,300.00,0.00,15.00,0.00,
,,,,06/26/2024,CN115,300.00,0.00,15.00,0.00,
,,,,06/27/2024,CN115,300.00,0.00,15.00,0.00,
,,,,06/29/2024,CN116,20.00,0.00,15.00,0.00,
,,,,06/26/2024,CN116,20.00,0.00,15.00,0.00,
,,,,06/27/2024,CN116,20.00,0.00,15.00,0.00,
,,,,06/29/2024,CN117,35.00,0.00,15.00,0.00,
,,,,06/26/2024,CN117,35.00,0.00,15.00,0.00,
,,,,06/27/2024,CN117,35.00,0.00,15.00,0.00,
,,,,06/29/2024,CN118,150.00,0.00,15.00,0.00,
,,,,06/26/2024,CN118,150.00,0.00,15.00,0.00,
,,,,06/27/2024,CN118,150.00,0.00,15.00,0.00,
,,,,06/29/2024,CN113,150.00,0.00,15.00,0.00,
,,,,06/26/2024,CN113,150.00,0.00,15.00,0.00,
,,,,06/26/2024,INV111,"6 000.00",0.00,15.00,0.00,
,,,,,48,,0.00,720.00,0.00,
,,,,,,,,,,
,,,,,,,,,,
