Collateral Value Report,
,,,
,
,
Applicant Name,Contract Document No,Batch No,Inspect Institution Name,Collateral ID,Collateral Name,Collateral Market Price,Collateral Firm Price,Unit,Collateral Quantity,Collateral Value,Available Financing Amount,Financing Balance,Warning Flag
C008077nm,ABLDOC,,,,,,,,,,,,,
,,REG003426,CIA,,,,,,,,,,,
,,,,01-01-01-003280,NONGFU,3,2,BOTTLE,1000,"3 000.00",,,,
,,,,01-01-02-003281,SWISS,20,20,PACK,200,"4 000.00",,,,
,,,,,,,,,,,,,,
,,,,,,Total:,,,,"7 000.00","5 600.00","5 000.00",,
,,REG003427,CIA,,,,,,,,,,,
,,,,01-01-01-003280,NONGFU,3,2,BOTTLE,500,"1 500.00",,,,
,,,,01-01-02-003281,SWISS,20,20,PACK,800,"16 000.00",,,,
,,,,,,,,,,,,,,
,,,,,,Total:,,,,"17 500.00","14 000.00",0.00,,
,,REG003428,CIA,,,,,,,,,,,
,,,,01-01-01-003280,NONGFU,3,2,BOTTLE,500,"1 500.00",,,,
,,,,,,,,,,,,,,
,,,,,,Total:,,,,"1 500.00","1 200.00",0.00,,
,,REG003429,CIA,,,,,,,,,,,
,,,,01-01-01-003280,NONGFU,3,2,BOTTLE,200,600.00,,,,
,,,,,,,,,,,,,,
,,,,,,Total:,,,,600.00,480.00,0.00,,
,,REG003432,CIA,,,,,,,,,,,
,,,,01-01-01-003280,NONGFU,3,2,BOTTLE,500,"1 500.00",,,,
,,,,,,,,,,,,,,
,,,,,,Total:,,,,"1 500.00","1 200.00",0.00,,
,,REG003433,CIA,,,,,,,,,,,
,,,,01-01-01-003280,NONGFU,3,2,BOTTLE,500,"1 500.00",,,,
,,,,,,,,,,,,,,
,,,,,,Total:,,,,"1 500.00","1 200.00",0.00,,
,,REG003436,CIA,,,,,,,,,,,
,,,,01-01-01-003280,NONGFU,3,2,BOTTLE,20,60.00,,,,
,,,,,,,,,,,,,,
,,,,,,Total:,,,,60.00,48.00,0.00,,
,,REG003441,CIA,,,,,,,,,,,
,,,,01-01-02-003281,SWISS,20,20,PACK,1000,"20 000.00",,,,
,,,,01-01-01-003280,NONGFU,3,2,BOTTLE,800,"2 400.00",,,,
,,,,,,,,,,,,,,
,,,,,,Total:,,,,"22 400.00","17 920.00","6 500.00",,
,,REG003443,CIA,,,,,,,,,,,
,,,,01-01-02-003281,SWISS,20,20,PACK,1000,"20 000.00",,,,
,,,,,,,,,,,,,,
,,,,,,Total:,,,,"20 000.00","16 000.00","10 000.00",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
********** END OF REPORT **********
