Invoice Financing Report,
,Domestic Factoring,,
,
,
Seller Name,Agreement Document No,Currency,Amount,Buyer Name,Invoice Number,Invoice Amount,Invoice Due Date,Financing Date,Financing Amount,Interest Rate,Net Interest Amount,Interest Charge Type
ADAM TEST01,,,,,,,,,,,,,
,Test001,USD,"800 000.00",,,,,,,,,,
,,,,MAG-NUM INC.,,,,,,,,,
,,,,,DF2404240009,"100 000.00",06/23/2024,04/29/2024,"80 000.00",0.5,61.11,Upfront,
,,,,Subtotal,1,"100 000.00",,,"80 000.00",,61.11,,
,,,,,,,,,,,,,
,,,,Total,1,"100 000.00",,,"80  000.00",,61.11,,
DF SELLER 02,,,,,,,,,,,,,
,AMG00001,USD,"10 000 000.00",,,,,,,,,,
,,,,DF BUYER 02,,,,,,,,,
,,,,,DFINV051609,"1 000.00",07/29/2024,06/28/2024,800.00,3,1.38,Upfront,
,,,,,DFINV051610,"2 000.00",07/29/2024,06/28/2024,"1 600.00",3,2.76,Upfront,
,,,,,DFINV051611,"3 000.00",07/29/2024,06/28/2024,"2 400.00",3,4.13,Upfront,
,,,,,DFINV051612,"4 000.00",07/29/2024,06/28/2024,"3 200.00",3,5.51,Upfront,
,,,,,DFINV051613,"1 000.00",07/29/2024,06/28/2024,800.00,3,0.00,Settlement,
,,,,,DFINV051614,"2 000.00",07/29/2024,06/28/2024,"1 600.00",3,0.00,Settlement,
,,,,,DFINV051615,"1 000.00",07/29/2024,06/29/2024,800.00,3,1.33,Upfront,
,,,,,DFINV051616,"2 000.00",07/29/2024,06/29/2024,"1 600.00",3,2.67,Upfront,
,,,,Subtotal,8,"16 000.00",,,"12 800.00",,17.78,,
,,,,,,,,,,,,,
,,,,Total,8,"16 000.00",,,"12  800.00",,17.78,,
DFCUST01,,,,,,,,,,,,,
,DOC01,USD,"100 000.00",,,,,,,,,,
,,,,DFBUYR01,,,,,,,,,
,,,,,DFINV07205591,"1 000.00",08/06/2024,05/27/2024,900.00,1,1.77,Upfront,
,,,,,DFINV07205592,"5 000.00",08/06/2024,06/10/2024,"4 500.00",1,7.12,Upfront,
,,,,,DFINV07205593,"5 000.00",08/06/2024,06/23/2024,"4 500.00",1,5.50,Upfront,
,,,,,DFINV07205594,"5 000.00",11/06/2024,06/23/2024,"4 500.00",1,17.00,Upfront,
,,,,,DFINV07205595,"5 000.00",11/06/2024,06/10/2024,"4 500.00",1,18.62,Upfront,
,,,,,DFINV07205596,"5 000.00",11/06/2024,06/23/2024,"4 500.00",1,17.00,Upfront,
,,,,,DFINV07205597,"5 000.00",11/06/2024,06/23/2024,"4 500.00",1,17.00,Upfront,
,,,,Subtotal,7,"31 000.00",,,"27 900.00",,84.01,,
,,,,,,,,,,,,,
,,,,Total,7,"31 000.00",,,"27  900.00",,84.01,,
,,,,,,,,,,,,,
********** END OF REPORT **********
