Invoice Overdue Report,
,Export Factoring,,
,
,
Seller Name,Agreement Document No,Currency,Limit Amount,Buyer Name,Invoice Number,Invoice Amount,Invoice Balance,Financing Balance,Invoice Due Date,Overdue Days
,,,,,,,,,,,
ABC MANUFACTURING COMPANY,ABCAGM01,USD,"5 000 000.00",CB APPAREL,,,,,,,
,,,,,CBINV03,"6 000.00","6 000.00",0.00,07/20/2024,51,
,,,,,CBINV04,500.00,500.00,0.00,07/20/2024,51,
,,,,,CBINV05,"1 300.00","1 300.00",0.00,07/20/2024,51,
,,,,,CBINV06,"3 000.00","3 000.00",0.00,07/20/2024,51,
,,,,,CBINV07,"4 000.00","4 000.00",0.00,07/20/2024,51,
,,,,,CBINV08,"2 000.00","2 000.00",0.00,07/20/2024,51,
,,,,,CBINV09,"3 200.00","3 200.00",0.00,07/20/2024,51,
,,,,,,,,,,,
,,,,Total,7,"20 000.00","20 000.00",0.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
C009482nm,C009482doc,USD,"50 000.00",C009483nm,,,,,,,
,,,,,2023042000001,"1 000.00","1 000.00",0.00,06/09/2023,458,
,,,,,2023042000002,"2 000.00","2 000.00",0.00,06/09/2023,458,
,,,,,2023042000003,"3 000.00","3 000.00",0.00,06/09/2023,458,
,,,,,2023042400001,"1 000.00","1 000.00",0.00,06/13/2023,454,
,,,,,2023042400002,"2 000.00","2 000.00",0.00,06/13/2023,454,
,,,,,2023042400003,"3 000.00","3 000.00",0.00,06/13/2023,454,
,,,,,2023042400004,"4 000.00","4 000.00",0.00,06/13/2023,454,
,,,,,2023042400005,"5 000.00","5 000.00",0.00,06/13/2023,454,
,,,,,,,,,,,
,,,,Total,8,"21 000.00","21 000.00",0.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
C009958nm,111222,USD,"99 999.00",C009957nm,,,,,,,
,,,,,INV2023082319,"12 000.00","12 000.00",0.00,08/20/2024,20,
,,,,,INV2023082320,"23 000.00","23 000.00",0.00,08/20/2024,20,
,,,,,INV2023082321,"12 000.00","12 000.00",0.00,08/20/2024,20,
,,,,,INV2023082322,"23 000.00","23 000.00",0.00,08/20/2024,20,
,,,,,,,,,,,
,,,,Total,4,"70 000.00","70 000.00",0.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
C009968nm,111222,USD,"898 880.00",C009969nm,,,,,,,
,,,,,INV2023082416,"12 000.00","12 000.00",0.00,08/30/2023,376,
,,,,,INV2023082417,"23 000.00","23 000.00",0.00,08/30/2023,376,
,,,,,INV2023082420,"12 000.00","12 000.00",0.00,08/30/2023,376,
,,,,,INV2023082421,"23 000.00","23 000.00",0.00,08/30/2023,376,
,,,,,INV2023082418,"12 000.00","12 000.00",0.00,08/30/2023,376,
,,,,,INV2023082419,"23 000.00","23 000.00",0.00,08/30/2023,376,
,,,,,,,,,,,
,,,,Total,6,"105 000.00","105 000.00",0.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
C009976NM,111222,USD,"10 000.00",C009977NM,,,,,,,
,,,,,INV2023082523,"23 000.00","23 000.00",0.00,08/30/2023,376,
,,,,,INV2023082528,"23 000.00","23 000.00",0.00,08/30/2023,376,
,,,,,INV2023082530,"12 000.00","12 000.00",0.00,08/30/2023,376,
,,,,,INV2023082531,"23 000.00","23 000.00",0.00,08/30/2023,376,
,,,,,,,,,,,
,,,,Total,4,"81 000.00","81 000.00",0.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
C010298nm,111222,USD,"100 000.00",C010299nm,,,,,,,
,,,,,Inv20230913034410,"1 000.00","1 000.00",0.00,09/20/2023,355,
,,,,,,,,,,,
,,,,Total,1,"1 000.00","1 000.00",0.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
C010304nm,111222,USD,"100 000.00",C010305nm,,,,,,,
,,,,,Inv20230913044237,"1 000.00","1 000.00",0.00,09/20/2023,355,
,,,,,Inv20230913044305,"2 000.00","2 000.00",0.00,09/20/2023,355,
,,,,,Inv20230913044333,"3 000.00","3 000.00",0.00,09/20/2023,355,
,,,,,,,,,,,
,,,,Total,3,"6 000.00","6 000.00",0.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
C010306nm,111222,USD,"100 000.00",C010307nm,,,,,,,
,,,,,Inv20230914104338,"1 000.00","1 000.00",0.00,09/21/2023,354,
,,,,,Inv20230914104406,"2 000.00","2 000.00",0.00,09/21/2023,354,
,,,,,Inv20230914104433,"3 000.00","3 000.00",0.00,09/21/2023,354,
,,,,,,,,,,,
,,,,Total,3,"6 000.00","6 000.00",0.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
C010309nm,111222,USD,"100 000.00",C010310nm,,,,,,,
,,,,,Inv20230914030908,"1 000.00","1 000.00",0.00,09/21/2023,354,
,,,,,Inv20230914030936,"2 000.00","2 000.00",0.00,09/21/2023,354,
,,,,,Inv20230914031004,"3 000.00","3 000.00",0.00,09/21/2023,354,
,,,,,,,,,,,
,,,,Total,3,"6 000.00","6 000.00",0.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
C010311nm,111222,USD,"100 000.00",C010312nm,,,,,,,
,,,,,Inv20230914035909,"1 000.00","1 000.00",800.00,09/21/2023,354,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Inv20230914035936,"2 000.00","2 000.00","1 600.00",09/21/2023,354,
,,,,,Inv20230914040004,"3 000.00","3 000.00","2 400.00",09/21/2023,354,
,,,,,,,,,,,
,,,,,3,"6 000.00","6 000.00","4 800.00",,,
,,,,,,,,,,,
,,,,,,,,,,,
C010313nm,111222,USD,"100 000.00",C010314nm,,,,,,,
,,,,,Inv20230915083023,"1 000.00","1 000.00",800.00,09/22/2023,353,
,,,,,Inv20230915083051,"2 000.00","2 000.00","1 600.00",09/22/2023,353,
,,,,,Inv20230915083119,"3 000.00","3 000.00","2 400.00",09/22/2023,353,
,,,,,Inv20230915083023,"1 000.00","1 000.00",800.00,09/22/2023,353,
,,,,,Inv20230915083051,"2 000.00","2 000.00","1 600.00",09/22/2023,353,
,,,,,Inv20230915083119,"3 000.00","3 000.00","2 400.00",09/22/2023,353,
,,,,,,,,,,,
,,,,,6,"12 000.00","12 000.00","9 600.00",,,
,,,,,,,,,,,
,,,,,,,,,,,
C010315nm,111222,USD,"100 000.00",C010316nm,,,,,,,
,,,,,Inv20230915100725,"1 000.00","1 000.00",0.00,09/22/2023,353,
,,,,,Inv20230915100753,"2 000.00","2 000.00",0.00,09/22/2023,353,
,,,,,Inv20230915100821,"3 000.00","3 000.00",0.00,09/22/2023,353,
,,,,,,,,,,,
,,,,,3,"6 000.00","6 000.00",0.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
C010317nm,111222,USD,"100 000.00",C010318nm,,,,,,,
,,,,,Inv20230915110307,"1 000.00","1 000.00",0.00,09/22/2023,353,
,,,,,Inv20230915110334,"2 000.00","2 000.00",0.00,09/22/2023,353,
,,,,,Inv20230915110402,"3 000.00","3 000.00",0.00,09/22/2023,353,
,,,,,,,,,,,
,,,,,3,"6 000.00","6 000.00",0.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
C010321nm,111222,USD,"100 000.00",C010322nm,,,,,,,
,,,,,Inv20230915115347,"1 000.00","1 000.00",800.00,09/22/2023,353,
,,,,,Inv20230915115414,"2 000.00","2 000.00","1 600.00",09/22/2023,353,
