Charge Collected Report,
,Export Factoring,,
,
,
Seller Name,Agreement Document No,Currency,Buyer Name,Charge Collected Date,Invoice Number,Invoice Amount,Commission Amount,Handling Charge,Other Charge
,,,,,,,,,,
DASMA HARDWARE,DH001,USD,ETIVAC EXPRESS,,,,,,,
,,,,07/03/2024,EEINV016,"4 000.00",0.00,20.00,0.00,
,,,,07/03/2024,EEINV017,500.00,0.00,20.00,0.00,
,,,,07/03/2024,EEINV001,"1 000.00",0.00,20.00,0.00,
,,,,07/03/2024,EEINV002,"2 000.00",0.00,20.00,0.00,
,,,,07/03/2024,EEINV003,"6 000.00",0.00,20.00,0.00,
,,,,07/03/2024,EECN005,10.00,0.00,20.00,0.00,
,,,,07/03/2024,EEINV004,500.00,0.00,20.00,0.00,
,,,,07/03/2024,EECN001,50.00,0.00,20.00,0.00,
,,,,07/03/2024,EECN002,30.00,0.00,20.00,0.00,
,,,,07/03/2024,EECN003,20.00,0.00,20.00,0.00,
,,,,07/03/2024,EECN004,20.00,0.00,20.00,0.00,
,,,,07/03/2024,EEINV005,"1 300.00",0.00,20.00,0.00,
,,,Total,,12,,0.00,240.00,0.00,
,,,,,,,,,,
,,,,,,,,,,
********** END OF REPORT **********
